,Unnamed: 0,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
","Rank[Note 2]
","Height(m) [2]
","Drop (m)[Note 3]
","Coordinates[4]
","Range [Note 4]
","Range[Note 5]
","Region [Note 6]
","First[5]ascent
"
308,308,"1352
","Chrüz
",2196,589,"46°57′18″N 09°46′30″E﻿ / ﻿46.95500°N 9.77500°E﻿ / 46.95500; 9.77500﻿ (1352. Chrüz (2196 m))
","Rätikon
","II/A-15.VIII-A
","Graubünden
","CH
",,,,,,,,,
309,309,"1353
","Hochschwung
",2196,342,"47°24′26″N 14°20′22″E﻿ / ﻿47.40722°N 14.33944°E﻿ / 47.40722; 14.33944﻿ (1353. Hochschwung (2196 m))
","Rottenmann Tauern
","II/A-18.III-B
","Styria
","AT
",,,,,,,,,
310,310,"1354
","Zuc dal Bôr / Zuc del Bor [it]
",2195,1112,"46°26′58″N 13°15′31″E﻿ / ﻿46.44944°N 13.25861°E﻿ / 46.44944; 13.25861﻿ (1354. Zuc dal Bôr / Zuc del Bor (2195 m))
","Carnic Alps
","II/C-33.I-D
","Udine
","IT
",,,,,,,,,
311,311,"1355
","Gartnerkofel
",2195,665,"46°34′17″N 13°18′15″E﻿ / ﻿46.57139°N 13.30417°E﻿ / 46.57139; 13.30417﻿ (1355. Gartnerkofel (2195 m))
","Carnic Alps
","II/C-33.I-B
","Carinthia
","AT
",,,,,,,,,
312,312,"1356
","Hochwipfel
",2195,412,"46°35′40″N 13°10′36″E﻿ / ﻿46.59444°N 13.17667°E﻿ / 46.59444; 13.17667﻿ (1356. Hochwipfel (2195 m))
","Carnic Alps
","II/C-33.I-B
","Carinthia
","AT
",,,,,,,,,
313,313,"1357
","Guffert
",2194,1143,"47°32′46″N 11°47′21″E﻿ / ﻿47.54611°N 11.78917°E﻿ / 47.54611; 11.78917﻿ (1357. Guffert (2194 m))
","Brandenberg Alps
","II/B-21.V-A
","North Tyrol
","AT
",,,,,,,,,
314,314,"1358
","Cima della Laurasca [it]
",2193,371,"46°03′29″N 08°28′34″E﻿ / ﻿46.05806°N 8.47611°E﻿ / 46.05806; 8.47611﻿ (1358. Cima della Laurasca (2193 m))
","Ticino Alps
","I/B-10.II-C
","V-C-O
","IT
",,,,,,,,,
315,315,"1359
","Hochzinödl
",2191,495,"47°33′57″N 14°39′59″E﻿ / ﻿47.56583°N 14.66639°E﻿ / 47.56583; 14.66639﻿ (1359. Hochzinödl (2191 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
",,,,,,,,,
316,316,"1360
","Stockhorn
",2190,399,"46°41′38″N 07°32′15″E﻿ / ﻿46.69389°N 7.53750°E﻿ / 46.69389; 7.53750﻿ (1360. Stockhorn (2190 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
",,,,,,,,,
317,317,"1361
","Hinterer Geißstein
",2190,351,"47°18′24″N 13°32′19″E﻿ / ﻿47.30667°N 13.53861°E﻿ / 47.30667; 13.53861﻿ (1361. Hinterer Geißstein (2190 m))
","Schladming Tauern
","II/A-18.II-A
","Salzburg
","AT
",,,,,,,,,
318,318,"1362
","Blayeul [fr]
",2189,949,"44°14′50″N 06°18′44″E﻿ / ﻿44.24722°N 6.31222°E﻿ / 44.24722; 6.31222﻿ (1362. Blayeul (2189 m))
","Provence Alps
","I/A-03.I-A
","Alpes-de-Haute-Provence
","FR
",,,,,,,,,
319,319,"1363
","Gros Van
",2189,528,"46°23′47″N 07°04′09″E﻿ / ﻿46.39639°N 7.06917°E﻿ / 46.39639; 7.06917﻿ (1363. Gros Van (2189 m))
","Vaud Alps
","I/B-14.I-A
","Vaud
","CH
",,,,,,,,,
320,320,"1364
","Gridone
",2188,1231,"46°07′25″N 08°38′53″E﻿ / ﻿46.12361°N 8.64806°E﻿ / 46.12361; 8.64806﻿ (1364. Gridone (2188 m))
","Ticino Alps
","I/B-10.II-C
","V-C-O / Ticino
","CH/IT
",,,,,,,,,
321,321,"1365
","Ochsen
",2188,384,"46°41′56″N 07°25′07″E﻿ / ﻿46.69889°N 7.41861°E﻿ / 46.69889; 7.41861﻿ (1365. Ochsen (2188 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
",,,,,,,,,
322,322,"1366
","Ameringkogel
",2187,1232,"47°04′24″N 14°48′29″E﻿ / ﻿47.07333°N 14.80806°E﻿ / 47.07333; 14.80806﻿ (1366. Ameringkogel (2187 m))
","Lavanttal Alps
","II/A-20.I-A
","Styria
","AT
",,,,,,,,,
323,323,"1367
","Monte Sernio
",2187,941,"46°28′30″N 13°08′15″E﻿ / ﻿46.47500°N 13.13750°E﻿ / 46.47500; 13.13750﻿ (1367. Monte Sernio (2187 m))
","Carnic Alps
","II/C-33.I-D
","Udine
","IT
",,,,,,,,,
324,324,"1368
","Pizzocco
",2187,324,"46°08′24″N 12°00′34″E﻿ / ﻿46.14000°N 12.00944°E﻿ / 46.14000; 12.00944﻿ (1368. Pizzocco (2187 m))
","Dolomites – S
","II/C-31.IV-B
","Belluno
","IT
",,,,,,,,,
325,325,"1369
","Kreuzspitze
",2185,1182,"47°31′36″N 10°55′06″E﻿ / ﻿47.52667°N 10.91833°E﻿ / 47.52667; 10.91833﻿ (1369. Kreuzspitze (2185 m))
","Ammergau Alps
","II/B-22.III-A
","Bavaria
","DE
",,,,,,,,,
326,326,"1370
","Monte Misa
",2184,389,"45°54′04″N 10°26′39″E﻿ / ﻿45.90111°N 10.44417°E﻿ / 45.90111; 10.44417﻿ (1370. Monte Misa (2184 m))
","Adamello-Presanella Alps
","II/C-28.III-A
","Brescia
","IT
",,,,,,,,,
327,327,"1371
","Monte Rite [it]
",2183,618,"46°23′04″N 12°15′29″E﻿ / ﻿46.38444°N 12.25806°E﻿ / 46.38444; 12.25806﻿ (1371. Monte Rite (2183 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
",,,,,,,,,
328,328,"1372
","Pizzo Stagno
",2183,342,"46°04′38″N 08°27′33″E﻿ / ﻿46.07722°N 8.45917°E﻿ / 46.07722; 8.45917﻿ (1372. Pizzo Stagno (2183 m))
","Ticino Alps
","I/B-10.II-C
","V-C-O
","IT
",,,,,,,,,
329,329,"1373
","Trélod
",2181,686,"45°41′34″N 06°11′47″E﻿ / ﻿45.69278°N 6.19639°E﻿ / 45.69278; 6.19639﻿ (1373. Trélod (2181 m))
","Bauges
","I/B-08.V-A
","Savoie / Haute-Savoie
","FR
",,,,,,,,,
330,330,"1374
","Monte Bondone (Cornetto)
",2180,1679,"45°59′17″N 11°01′53″E﻿ / ﻿45.98806°N 11.03139°E﻿ / 45.98806; 11.03139﻿ (1374. Monte Bondone (Cornetto) (2180 m))
","Garda Mountains
","II/C-30.II-C
","Trentino
","IT
",,,,,,,,,
331,331,"1375
","Wertatscha / Vrtača
",2180,340,"46°26′23″N 14°12′45″E﻿ / ﻿46.43972°N 14.21250°E﻿ / 46.43972; 14.21250﻿ (1375. Wertatscha / Vrtača (2180 m))
","Karawanks
","II/C-35.I-A
","Carinthia / Slovenia
","AT/SI
",,,,,,,,,
332,332,"1376
","Lüschgrat
",2178,332,"46°42′06″N 09°20′41″E﻿ / ﻿46.70167°N 9.34472°E﻿ / 46.70167; 9.34472﻿ (1376. Lüschgrat (2178 m))
","Adula Alps
","I/B-10.III-C
","Graubünden
","CH
",,,,,,,,,
333,333,"1377
","Grignetta
",2177,377,"45°55′18″N 09°23′25″E﻿ / ﻿45.92167°N 9.39028°E﻿ / 45.92167; 9.39028﻿ (1377. Grignetta (2177 m))
","Bergamasque Prealps
","II/C-29.II-A
","Lecco
","IT
",,,,,,,,,
334,334,"1378
","Pointe d'entre Deux Pertuis
",2176,398,"46°14′03″N 06°43′52″E﻿ / ﻿46.23417°N 6.73111°E﻿ / 46.23417; 6.73111﻿ (1378. Pte d'entre Deux Pertuis (2176 m))
","Chablais Alps
","I/B-08.III-A
","Haute-Savoie
","FR
",,,,,,,,,
335,335,"1379
","Signal de l'Homme
",2176,361,"45°04′01″N 06°05′08″E﻿ / ﻿45.06694°N 6.08556°E﻿ / 45.06694; 6.08556﻿ (1379. Signal de l'Homme (2176 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
",,,,,,,,,
336,336,"1380
","Bulacia / Puflatsch [de]
",2174,329,"46°33′50″N 11°36′54″E﻿ / ﻿46.56389°N 11.61500°E﻿ / 46.56389; 11.61500﻿ (1380. Bulacia / Puflatsch (2174 m))
","Dolomites – NW
","II/C-31.III-A
","South Tyrol
","IT
",,,,,,,,,
337,337,"1381
","Hexenturm
",2172,358,"47°38′45″N 14°28′52″E﻿ / ﻿47.64583°N 14.48111°E﻿ / 47.64583; 14.48111﻿ (1381. Hexenturm (2172 m))
","Ennstal Alps
","II/B-26.I-A
","Styria
","AT
",,,,,,,,,
338,338,"1382
","Goldachnock
",2171,787,"47°02′05″N 14°03′27″E﻿ / ﻿47.03472°N 14.05750°E﻿ / 47.03472; 14.05750﻿ (1382. Goldachnock (2171 m))
","Gurktal Alps
","II/A-19.I-B
","Styria
","AT
",,,,,,,,,
339,339,"1383
","Monte Crot [it]
",2169,364,"46°25′38″N 12°05′59″E﻿ / ﻿46.42722°N 12.09972°E﻿ / 46.42722; 12.09972﻿ (1383. Monte Crot (2169 m))
","Dolomites – SE
","II/C-31.II-A
","Belluno
","IT
",,,,,,,,,
340,340,"1384
","Monte Chiarescons [it]
",2168,332,"46°20′52″N 12°37′35″E﻿ / ﻿46.34778°N 12.62639°E﻿ / 46.34778; 12.62639﻿ (1384. Monte Chiarescons (2168 m))
","Carnic Prealps
","II/C-33.III-B
","Pordenone / Udine
","IT
",,,,,,,,,
341,341,"1385
","Dobratsch
",2166,1233,"46°36′12″N 13°40′16″E﻿ / ﻿46.60333°N 13.67111°E﻿ / 46.60333; 13.67111﻿ (1385. Dobratsch (2166 m))
","Gailtal Alps
","II/C-33.II-F
","Carinthia
","AT
",,,,,,,,,
342,342,"1386
","Col Rosa
",2166,432,"46°35′10″N 12°05′51″E﻿ / ﻿46.58611°N 12.09750°E﻿ / 46.58611; 12.09750﻿ (1386. Col Rosa (2166 m))
","Dolomites – NE
","II/C-31.I-D
","Belluno
","IT
",,,,,,,,,
343,343,"1387
","Eisenerzer Reichenstein
",2165,660,"47°30′09″N 14°56′04″E﻿ / ﻿47.50250°N 14.93444°E﻿ / 47.50250; 14.93444﻿ (1387. Eisenerzer Reichenstein (2165 m))
","Ennstal Alps
","II/B-26.I-C
","Styria
","AT
",,,,,,,,,
344,344,"1388
","Gehrenspitze
",2163,305,"47°30′01″N 10°39′19″E﻿ / ﻿47.50028°N 10.65528°E﻿ / 47.50028; 10.65528﻿ (1388. Gehrenspitze (2163 m))
","Allgäu Alps
","II/B-22.II-E
","North Tyrol
","AT
",,,,,,,,,
345,345,"1389
","Geierköpfe
",2161,495,"47°31′11″N 10°52′30″E﻿ / ﻿47.51972°N 10.87500°E﻿ / 47.51972; 10.87500﻿ (1389. Geierköpfe (2161 m))
","Ammergau Alps
","II/B-22.III-A
","North Tyrol
","AT
",,,,,,,,,
346,346,"1390
","Monte Massone
",2161,411,"45°56′49″N 08°20′17″E﻿ / ﻿45.94694°N 8.33806°E﻿ / 45.94694; 8.33806﻿ (1390. Monte Massone (2161 m))
","Monte Rosa Alps
","I/B-09.III-C
","V-C-O
","IT
",,,,,,,,,
347,347,"1391
","Pic de Gleize
",2161,362,"44°38′04″N 06°02′38″E﻿ / ﻿44.63444°N 6.04389°E﻿ / 44.63444; 6.04389﻿ (1391. Pic de Gleize (2161 m))
","Dévoluy Mountains
","I/A-06.I-A
","Hautes-Alpes
","FR
",,,,,,,,,
348,348,"1392
","Zuccone Campelli
",2159,507,"45°57′12″N 09°31′01″E﻿ / ﻿45.95333°N 9.51694°E﻿ / 45.95333; 9.51694﻿ (1392. Zuccone Campelli (2159 m))
","Bergamasque Prealps
","II/C-29.II-A
","Lecco
","IT
",,,,,,,,,
349,349,"1393
","Monte Zeda
",2156,348,"46°02′44″N 08°32′07″E﻿ / ﻿46.04556°N 8.53528°E﻿ / 46.04556; 8.53528﻿ (1393. Monte Zeda (2156 m))
","Ticino Alps
","I/B-10.II-C
","V-C-O
","IT
",,,,,,,,,
350,350,"1394
","Dosso della Torta [de]
",2156,305,"45°58′00″N 10°45′50″E﻿ / ﻿45.96667°N 10.76389°E﻿ / 45.96667; 10.76389﻿ (1394. Dosso della Torta (2156 m))
","Garda Prealps
","II/C-30.II-A
","Trentino
","IT
",,,,,,,,,
351,351,"1395
","Frudiger
",2153,431,"46°58′08″N 10°34′46″E﻿ / ﻿46.96889°N 10.57944°E﻿ / 46.96889; 10.57944﻿ (1395. Frudiger (2153 m))
","Ötztal Alps
","II/A-16.I-C
","North Tyrol
","AT
",,,,,,,,,
352,352,"1396
","Monte Padrio
",2153,309,"46°11′12″N 10°13′39″E﻿ / ﻿46.18667°N 10.22750°E﻿ / 46.18667; 10.22750﻿ (1396. Monte Padrio (2153 m))
","Ortler Alps
","II/C-28.I-B
","Brescia / Sondrio
","IT
",,,,,,,,,
353,353,"1397
","Hochmatt
",2152,428,"46°34′33″N 07°13′12″E﻿ / ﻿46.57583°N 7.22000°E﻿ / 46.57583; 7.22000﻿ (1397. Hochmatt (2152 m))
","Fribourg Prealps
","I/B-14.I-B
","Fribourg
","CH
",,,,,,,,,
354,354,"1398
","Becco di Filadonna [it]
",2150,943,"45°57′49″N 11°11′35″E﻿ / ﻿45.96361°N 11.19306°E﻿ / 45.96361; 11.19306﻿ (1398. Becco di Filadonna (2150 m))
","Vicentine Alps
","II/C-32.I-A
","Trentino
","IT
",,,,,,,,,
355,355,"1399
","Cresta Le Coraie
",2149,474,"46°12′35″N 12°04′39″E﻿ / ﻿46.20972°N 12.07750°E﻿ / 46.20972; 12.07750﻿ (1399. Cresta Le Coraie (2149 m))
","Dolomites – S
","II/C-31.IV-A
","Belluno
","IT
",,,,,,,,,
356,356,"1400
","Pizzo Camino
",2148,323,"45°58′39″N 08°14′04″E﻿ / ﻿45.97750°N 8.23444°E﻿ / 45.97750; 8.23444﻿ (1400. Pizzo Camino (2148 m))
","Monte Rosa Alps
","I/B-09.III-C
","V-C-O
","IT
",,,,,,,,,
357,357,"1401
","Wöllaner Nock [de]
",2145,1042,"46°46′36″N 13°49′47″E﻿ / ﻿46.77667°N 13.82972°E﻿ / 46.77667; 13.82972﻿ (1401. Wöllaner Nock (2145 m))
","Gurktal Alps
","II/A-19.I-C
","Carinthia
","AT
",,,,,,,,,
358,358,"1402
","Mittagskogel / Kepa
",2143,705,"46°30′24″N 13°57′10″E﻿ / ﻿46.50667°N 13.95278°E﻿ / 46.50667; 13.95278﻿ (1402. Mittagskogel / Kepa (2143 m))
","Karawanks
","II/C-35.I-A
","Carinthia / Slovenia
","AT/SI
",,,,,,,,,
359,359,"1403
","Monte Zermula [it]
",2143,591,"46°33′41″N 13°09′05″E﻿ / ﻿46.56139°N 13.15139°E﻿ / 46.56139; 13.15139﻿ (1403. Monte Zermula (2143 m))
","Carnic Alps
","II/C-33.I-B
","Udine
","IT
",,,,,,,,,
360,360,"1404
","Goldeck [de]
",2142,417,"46°45′31″N 13°27′34″E﻿ / ﻿46.75861°N 13.45944°E﻿ / 46.75861; 13.45944﻿ (1404. Goldeck (2142 m))
","Gailtal Alps
","II/C-33.II-E
","Carinthia
","AT
",,,,,,,,,
361,361,"1405
","Großer Speikkogel
",2140,971,"46°47′15″N 14°58′18″E﻿ / ﻿46.78750°N 14.97167°E﻿ / 46.78750; 14.97167﻿ (1405. Großer Speikkogel (2140 m))
","Lavanttal Alps
","II/A-20.I-B
","Carinthia
","AT
",,,,,,,,,
362,362,"1406
","Gstoder [de]
",2140,906,"47°08′33″N 13°59′33″E﻿ / ﻿47.14250°N 13.99250°E﻿ / 47.14250; 13.99250﻿ (1406. Gstoder (2140 m))
","Schladming Tauern
","II/A-18.II-B
","Salzburg / Styria
","AT
",,,,,,,,,
363,363,"1407
","Hochobir / Ojstrc [de]
",2139,1071,"46°30′21″N 14°29′16″E﻿ / ﻿46.50583°N 14.48778°E﻿ / 46.50583; 14.48778﻿ (1407. Hochobir / Ojstrc (2139 m))
","Karawanks
","II/C-35.I-B
","Carinthia
","AT
",,,,,,,,,
364,364,"1408
","Kammspitz
",2139,658,"47°28′34″N 13°53′06″E﻿ / ﻿47.47611°N 13.88500°E﻿ / 47.47611; 13.88500﻿ (1408. Kammspitz (2139 m))
","Dachstein Mts
","II/B-25.I-C
","Styria
","AT
",,,,,,,,,
365,365,"1409
","Strimskogel [cs]
",2139,400,"47°18′43″N 13°28′15″E﻿ / ﻿47.31194°N 13.47083°E﻿ / 47.31194; 13.47083﻿ (1409. Strimskogel (2139 m))
","Radstadt Tauern
","II/A-18.I-A
","Salzburg
","AT
",,,,,,,,,
366,366,"1410
","Koschutnikturm /Košutnikov turn [de]
",2136,767,"46°26′46″N 14°24′38″E﻿ / ﻿46.44611°N 14.41056°E﻿ / 46.44611; 14.41056﻿ (1410. Koschutnikturm /Košutnikov turn (2136 m))
","Karawanks
","II/C-35.I-A
","Carinthia / Slovenia
","AT/SI
",,,,,,,,,
367,367,"1411
","Dôme de Barrot [fr]
",2136,456,"44°02′13″N 06°55′02″E﻿ / ﻿44.03694°N 6.91722°E﻿ / 44.03694; 6.91722﻿ (1411. Dôme de Barrot (2136 m))
","Maritime Alps
","I/A-02.I-D
","Alpes-Maritimes
","FR
",,,,,,,,,
368,368,"1412
","Cime de Marta / Cima Marta [it]
",2135,535,"44°01′06″N 07°39′25″E﻿ / ﻿44.01833°N 7.65694°E﻿ / 44.01833; 7.65694﻿ (1412. Cime de Marta / Cima Marta (2135 m))
","Ligurian Alps
","I/A-01.II-A
","Alpes-Maritimes
","FR
",,,,,,,,,
369,369,"1413
","Monte Colli
",2135,319,"46°01′55″N 10°12′05″E﻿ / ﻿46.03194°N 10.20139°E﻿ / 46.03194; 10.20139﻿ (1413. Monte Colli (2135 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo
","IT
",,,,,,,,,
370,370,"1414
","Glatthorn
",2134,648,"47°15′55″N 09°52′47″E﻿ / ﻿47.26528°N 9.87972°E﻿ / 47.26528; 9.87972﻿ (1414. Glatthorn (2134 m))
","Bregenz Forest Mts
","II/B-22.I-A
","Vorarlberg
","AT
",,,,,,,,,
371,371,"1415
","Monte Serva [it]
",2133,478,"46°12′01″N 12°13′58″E﻿ / ﻿46.20028°N 12.23278°E﻿ / 46.20028; 12.23278﻿ (1415. Monte Serva (2133 m))
","Dolomites – SE
","II/C-31.II-B
","Belluno
","IT
",,,,,,,,,
372,372,"1416
","Storžič
",2132,667,"46°21′00″N 14°24′19″E﻿ / ﻿46.35000°N 14.40528°E﻿ / 46.35000; 14.40528﻿ (1416. Storžič (2132 m))
","Kamnik Alps
","II/C-35.II-A
","Slovenia
","SI
",,,,,,,,,
373,373,"1417
","Monte Birrone
",2131,436,"44°32′33″N 07°15′08″E﻿ / ﻿44.54250°N 7.25222°E﻿ / 44.54250; 7.25222﻿ (1417. Monte Birrone (2131 m))
","Cottian Alps
","I/A-04.I-A
","Cuneo
","IT
",,,,,,,,,
374,374,"1418
","Pilatus (Tomlishorn)
",2128,585,"46°58′26″N 08°14′28″E﻿ / ﻿46.97389°N 8.24111°E﻿ / 46.97389; 8.24111﻿ (1418. Pilatus (Tomlishorn) (2128 m))
","Emmental Alps
","I/B-14.III-A
","Nidwalden / Obwalden
","CH
",,,,,,,,,
375,375,"1419
","Elm [de]
",2128,388,"47°40′25″N 13°57′47″E﻿ / ﻿47.67361°N 13.96306°E﻿ / 47.67361; 13.96306﻿ (1419. Elm (2128 m))
","Totes Gebirge
","II/B-25.III-A
","Styria
","AT
",,,,,,,,,
376,376,"1420
","Kordeschkopf / Kordeževa glava
",2126,882,"46°30′00″N 14°46′50″E﻿ / ﻿46.50000°N 14.78056°E﻿ / 46.50000; 14.78056﻿ (1420. Kordeschkopf / Kordeževa glava (2126 m))
","Karawanks
","II/C-35.I-C
","Carinthia / Slovenia
","AT/SI
",,,,,,,,,
377,377,"1421
","Jerebica [sl]
",2126,425,"46°23′53″N 13°33′54″E﻿ / ﻿46.39806°N 13.56500°E﻿ / 46.39806; 13.56500﻿ (1421. Jerebica (2126 m))
","Julian Alps
","II/C-34.I-B
","Udine / Slovenia
","IT/SI
",,,,,,,,,
378,378,"1422
","Paganella (Cima Roda)
",2124,1099,"46°08′36″N 11°02′15″E﻿ / ﻿46.14333°N 11.03750°E﻿ / 46.14333; 11.03750﻿ (1422. Paganella (Cima Roda) (2124 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
",,,,,,,,,
379,379,"1423
","Kuhgrat
",2123,681,"47°10′00″N 09°33′39″E﻿ / ﻿47.16667°N 9.56083°E﻿ / 47.16667; 9.56083﻿ (1423. Kuhgrat (2123 m))
","Rätikon
","II/A-15.VIII-A
","Liechtenstein
","LI
",,,,,,,,,
380,380,"1424
","Montagne du Carton
",2123,362,"44°10′53″N 06°27′39″E﻿ / ﻿44.18139°N 6.46083°E﻿ / 44.18139; 6.46083﻿ (1424. Montagne du Carton (2123 m))
","Provence Alps
","I/A-03.II-A
","Alpes-de-Haute-Provence
","FR
",,,,,,,,,
381,381,"1425
","Ebenstein [de]
",2123,348,"47°36′21″N 15°01′42″E﻿ / ﻿47.60583°N 15.02833°E﻿ / 47.60583; 15.02833﻿ (1425. Ebenstein (2123 m))
","Hochschwab
","II/B-26.II-A
","Styria
","AT
",,,,,,,,,
382,382,"1426
","Zeiritzkampel [de]
",2120,559,"47°29′29″N 14°43′34″E﻿ / ﻿47.49139°N 14.72611°E﻿ / 47.49139; 14.72611﻿ (1426. Zeiritzkampel (2120 m))
","Ennstal Alps
","II/B-26.I-C
","Styria
","AT
",,,,,,,,,
383,383,"
","Monte Tinisa [it]
",2120,298,"46°24′49″N 12°43′07″E﻿ / ﻿46.41361°N 12.71861°E﻿ / 46.41361; 12.71861﻿ (Monte Tinisa (2120 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
",,,,,,,,,
384,384,"1427
","Spitzegel [de]
",2119,1045,"46°39′18″N 13°24′38″E﻿ / ﻿46.65500°N 13.41056°E﻿ / 46.65500; 13.41056﻿ (1427. Spitzegel (2119 m))
","Gailtal Alps
","II/C-33.II-D
","Carinthia
","AT
",,,,,,,,,
385,385,"1428
","Wildseeloder
",2119,338,"47°25′55″N 12°31′55″E﻿ / ﻿47.43194°N 12.53194°E﻿ / 47.43194; 12.53194﻿ (1428. Wildseeloder (2119 m))
","Kitzbühel Alps
","II/B-23.II-C
","North Tyrol
","AT
",,,,,,,,,
386,386,"1429
","Hundstein
",2117,827,"47°20′17″N 12°54′41″E﻿ / ﻿47.33806°N 12.91139°E﻿ / 47.33806; 12.91139﻿ (1429. Hundstein (2117 m))
","Salzburg Slate Alps
","II/B-24.II-A
","Salzburg
","AT
",,,,,,,,,
387,387,"1430
","Roen
",2116,753,"46°21′38″N 11°11′31″E﻿ / ﻿46.36056°N 11.19194°E﻿ / 46.36056; 11.19194﻿ (1430. Roen (2116 m))
","Nonsberg Group
","II/C-28.II-A
","South Tyrol / Trentino
","IT
",,,,,,,,,
388,388,"1431
","Almkogel
",2116,375,"47°37′10″N 14°05′35″E﻿ / ﻿47.61944°N 14.09306°E﻿ / 47.61944; 14.09306﻿ (1431. Almkogel (2116 m))
","Totes Gebirge
","II/B-25.III-B
","Styria / Upper Austria
","AT
",,,,,,,,,
389,389,"
","Gsuchmauer
",2116,295,"47°32′56″N 14°40′03″E﻿ / ﻿47.54889°N 14.66750°E﻿ / 47.54889; 14.66750﻿ (Gsuchmauer (2116 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
",,,,,,,,,
390,390,"1432
","Les Monges [fr]
",2115,769,"44°15′47″N 06°11′41″E﻿ / ﻿44.26306°N 6.19472°E﻿ / 44.26306; 6.19472﻿ (1432. Les Monges (2115 m))
","Provence Alps
","I/A-03.II-B
","Hautes-Alpes
","FR
",,,,,,,,,
391,391,"1433
","Montagne de Cordœil [fr]
",2114,955,"44°04′06″N 06°31′48″E﻿ / ﻿44.06833°N 6.53000°E﻿ / 44.06833; 6.53000﻿ (1433. Montagne de Cordœil (2114 m))
","Provence Alps
","I/A-03.I-A
","Alpes-de-Haute-Provence
","FR
",,,,,,,,,
392,392,"
","Pointe de Chalune
",2113,295,"46°10′49″N 06°35′00″E﻿ / ﻿46.18028°N 6.58333°E﻿ / 46.18028; 6.58333﻿ (Pte de Chalune (2113 m))
","Chablais Alps
","I/B-08.III-C
","Haute-Savoie
","FR
",,,,,,,,,
393,393,"1434
","Sommet de Clot Ginoux
",2112,754,"44°17′47″N 06°12′46″E﻿ / ﻿44.29639°N 6.21278°E﻿ / 44.29639; 6.21278﻿ (1434. Sommet de Clot Ginoux (2112 m))
","Provence Alps
","I/A-03.II-B
","Hautes-Alpes
","FR
",,,,,,,,,
394,394,"1435
","Le Chamossaire
",2112,377,"46°19′36″N 07°03′41″E﻿ / ﻿46.32667°N 7.06139°E﻿ / 46.32667; 7.06139﻿ (1435. Le Chamossaire (2112 m))
","Vaud Alps
","I/B-14.I-A
","Vaud
","CH
",,,,,,,,,
395,395,"1436
","Mirnock [de]
",2110,1343,"46°45′32″N 13°42′56″E﻿ / ﻿46.75889°N 13.71556°E﻿ / 46.75889; 13.71556﻿ (1436. Mirnock (2110 m))
","Gurktal Alps
","II/A-19.I-C
","Carinthia
","AT
",,,,,,,,,
396,396,"1437
","Trentski Pelc
",2109,313,"46°23′09″N 13°42′34″E﻿ / ﻿46.38583°N 13.70944°E﻿ / 46.38583; 13.70944﻿ (1437. Trentski Pelc (2109 m))
","Julian Alps
","II/C-34.I-C
","Slovenia
","SI
",,,,,,,,,
397,397,"1438
","Millstätter Alpe (P 2108)
",2108,443,"46°51′26″N 13°34′42″E﻿ / ﻿46.85722°N 13.57833°E﻿ / 46.85722; 13.57833﻿ (1438. Millstätter Alpe (P 2108) (2108 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
",,,,,,,,,
398,398,"1439
","Testa di Comagna
",2106,467,"45°44′42″N 07°43′19″E﻿ / ﻿45.74500°N 7.72194°E﻿ / 45.74500; 7.72194﻿ (1439. Tête de Comagne (2106 m))
","Monte Rosa Alps
","I/B-09.III-B
","Aosta Valley
","IT
",,,,,,,,,
399,399,"1440
","Mondscheinspitze
",2106,457,"47°28′00″N 11°36′49″E﻿ / ﻿47.46667°N 11.61361°E﻿ / 47.46667; 11.61361﻿ (1440. Mondscheinspitze (2106 m))
","Karwendel
","II/B-21.IV-B
","North Tyrol
","AT
",,,,,,,,,
400,400,"1441
","Les Cluots
",2106,425,"44°02′49″N 07°00′17″E﻿ / ﻿44.04694°N 7.00472°E﻿ / 44.04694; 7.00472﻿ (1441. Les Cluots (2106 m))
","Maritime Alps
","I/A-02.I-D
","Alpes-Maritimes
","FR
",,,,,,,,,
401,401,"1442
","Schluchberg
",2106,364,"46°52′00″N 08°20′02″E﻿ / ﻿46.86667°N 8.33389°E﻿ / 46.86667; 8.33389﻿ (1442. Schluchberg (2106 m))
","Uri Alps
","I/B-12.I-B
","Nidwalden / Obwalden
","CH
",,,,,,,,,
402,402,"1443
","Hochkogel [de]
",2105,800,"47°32′20″N 14°48′55″E﻿ / ﻿47.53889°N 14.81528°E﻿ / 47.53889; 14.81528﻿ (1443. Hochkogel (2105 m))
","Ennstal Alps
","II/B-26.I-C
","Styria
","AT
",,,,,,,,,
