,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
"
98,"1146
","Cima di Pramper
",2409.0,540.0,"46°17′48″N 12°10′01″E﻿ / ﻿46.29667°N 12.16694°E﻿ / 46.29667; 12.16694﻿ (1146. Cima di Pramper  (2409 m))
","Dolomites – SE
","II/C-31.II-B
","Belluno
","IT
"
99,"1147
","Mont Charvin
",2409.0,449.0,"45°48′09″N 06°25′12″E﻿ / ﻿45.80250°N 6.42000°E﻿ / 45.80250; 6.42000﻿ (1147. Mont Charvin (2409 m))
","Aravis Range
","I/B-08.IV-A
","Haute-Savoie / Savoie
","FR
"
100,"1148
","Kilnprein
",2408.0,450.0,"46°59′07″N 13°50′34″E﻿ / ﻿46.98528°N 13.84278°E﻿ / 46.98528; 13.84278﻿ (1148. Kilnprein (2408 m))
","Nock Mountains
","II/A-19.I-A
","Salzburg / Styria
","AT
"
101,"1149
","Monte Pezza
",2408.0,364.0,"46°24′21″N 11°55′14″E﻿ / ﻿46.40583°N 11.92056°E﻿ / 46.40583; 11.92056﻿ (1149. Monte Pezza (2408 m))
","Dolomites – NW
","II/C-31.III-B
","Belluno
","IT
"
102,"1150
","Sasso Bianco
",2407.0,386.0,"46°24′45″N 11°57′34″E﻿ / ﻿46.41250°N 11.95944°E﻿ / 46.41250; 11.95944﻿ (1150. Sasso Bianco (2407 m))
","Dolomites – NW
","II/C-31.III-B
","Belluno
","IT
"
103,"1151
","Zirmebenjoch
",2407.0,310.0,"47°17′38″N 10°32′18″E﻿ / ﻿47.29389°N 10.53833°E﻿ / 47.29389; 10.53833﻿ (1151. Zirmebenjoch (2407 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
"
104,"1152
","Monte San Lucano [it]
",2406.0,411.0,"46°18′39″N 11°57′36″E﻿ / ﻿46.31083°N 11.96000°E﻿ / 46.31083; 11.96000﻿ (1152. Monte San Lucano (2406 m))
","Dolomites – S
","II/C-31.IV-A
","Belluno
","IT
"
105,"1153
","Erlspitze
",2405.0,607.0,"47°19′12″N 11°17′08″E﻿ / ﻿47.32000°N 11.28556°E﻿ / 47.32000; 11.28556﻿ (1153. Erlspitze (2405 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
106,"1154
","Cresta di Enghe
",2405.0,324.0,"46°31′15″N 12°38′04″E﻿ / ﻿46.52083°N 12.63444°E﻿ / 46.52083; 12.63444﻿ (1154. Cresta di Enghe (2405 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
"
107,"1155
","Saile [de]
",2404.0,412.0,"47°11′31″N 11°19′31″E﻿ / ﻿47.19194°N 11.32528°E﻿ / 47.19194; 11.32528﻿ (1155. Saile (2404 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
"
108,"1156
","Bric Costa Rossa
",2403.0,345.0,"44°15′03″N 07°36′00″E﻿ / ﻿44.25083°N 7.60000°E﻿ / 44.25083; 7.60000﻿ (1156. Bric Costa Rossa (2403 m))
","Ligurian Alps
","I/A-01.II-B
","Cuneo
","IT
"
109,"1157
","Zitterklapfen [de]
",2403.0,573.0,"47°16′05″N 09°58′16″E﻿ / ﻿47.26806°N 9.97111°E﻿ / 47.26806; 9.97111﻿ (1157. Zitterklapfen (2403 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
"
110,"1158
","Lopa [sl]
",2402.0,335.0,"46°22′13″N 13°29′39″E﻿ / ﻿46.37028°N 13.49417°E﻿ / 46.37028; 13.49417﻿ (1158. Lopa (2402 m))
","Julian Alps
","II/C-34.I-B
","Udine / Slovenia
","IT/SI
"
111,"1159
","Fundelkopf
",2401.0,375.0,"47°06′36″N 09°40′35″E﻿ / ﻿47.11000°N 9.67639°E﻿ / 47.11000; 9.67639﻿ (1159. Fundelkopf (2401 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlberg
","AT
"
112,"1160
","Monte Susino
",2397.0,301.0,"45°59′26″N 10°11′12″E﻿ / ﻿45.99056°N 10.18667°E﻿ / 45.99056; 10.18667﻿ (1160. Monte Susino (2397 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo / Brescia
","IT
"
113,"1161
","Seckauer Zinken [de]
",2397.0,377.0,"47°20′21″N 14°44′10″E﻿ / ﻿47.33917°N 14.73611°E﻿ / 47.33917; 14.73611﻿ (1161. Seckauer Zinken (2397 m))
","Seckau Tauern
","II/A-18.IV-B
","Styria
","AT
"
114,"1162
","Hochkünzelspitze [de]
",2397.0,352.0,"47°16′19″N 10°01′49″E﻿ / ﻿47.27194°N 10.03028°E﻿ / 47.27194; 10.03028﻿ (1162. Hochkünzelspitze (2397 m))
","Lechquellen Mts
","II/B-21.II-A
","Vorarlberg
","AT
"
115,"1163
","Cima d'Oltro
",2397.0,311.0,"46°13′14″N 11°54′25″E﻿ / ﻿46.22056°N 11.90694°E﻿ / 46.22056; 11.90694﻿ (1163. Cima d'Oltro (2397 m))
","Dolomites – S
","II/C-31.IV-A
","Trentino
","IT
"
116,"1164
","Zirbitzkogel
",2396.0,1502.0,"47°03′49″N 14°34′02″E﻿ / ﻿47.06361°N 14.56722°E﻿ / 47.06361; 14.56722﻿ (1164. Zirbitzkogel (2396 m))
","Lavanttal Alps
","II/A-19.II-A
","Styria
","AT
"
117,"1165
","Veliko Špičje
",2396.0,333.0,"46°20′37″N 13°46′00″E﻿ / ﻿46.34361°N 13.76667°E﻿ / 46.34361; 13.76667﻿ (1160. Veliko Špičje (2396 m))
","Julian Alps
","II/C-34.I-E
","Slovenia
","SI
"
118,"1166
","Cima di Sette Selle / Sasso Rotto
",2396.0,325.0,"46°07′42″N 11°23′54″E﻿ / ﻿46.12833°N 11.39833°E﻿ / 46.12833; 11.39833﻿ (1166. Cima di Sette Selle / Sasso Rotto (2396 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
119,"1167
","Planjava
",2394.0,491.0,"46°21′24″N 14°36′36″E﻿ / ﻿46.35667°N 14.61000°E﻿ / 46.35667; 14.61000﻿ (1167. Planjava (2394 m))
","Kamnik Alps
","II/C-35.II-A
","Slovenia
","SI
"
120,"1168
","Croda di Mezzodi
",2394.0,346.0,"46°31′58″N 12°34′40″E﻿ / ﻿46.53278°N 12.57778°E﻿ / 46.53278; 12.57778﻿ (1168. Croda di Mezzodi (2394 m))
","Carnic Alps
","II/C-33.I-C
","Belluno
","IT
"
121,"1169
","Montagne de Boules
",2391.0,357.0,"44°10′26″N 06°30′02″E﻿ / ﻿44.17389°N 6.50056°E﻿ / 44.17389; 6.50056﻿ (1169. Montagne de Boules (2391 m))
","Provence Alps
","I/A-03.II-A
","Alpes-de-Haute-Provence
","FR
"
122,"1170
","Kampspitze
",2390.0,438.0,"47°17′38″N 13°38′34″E﻿ / ﻿47.29389°N 13.64278°E﻿ / 47.29389; 13.64278﻿ (1170. Kampspitze (2390 m))
","Schladming Tauern
","II/A-18.II-A
","Styria
","AT
"
123,"1171
","Vanil Noir
",2389.0,1120.0,"46°31′43″N 07°08′54″E﻿ / ﻿46.52861°N 7.14833°E﻿ / 46.52861; 7.14833﻿ (1171. Vanil Noir (2389 m))
","Fribourg Prealps
","I/B-14.I-B
","Fribourg / Vaud
","CH
"
124,"1172
","Le Tabor
",2389.0,1022.0,"44°58′38″N 05°51′21″E﻿ / ﻿44.97722°N 5.85583°E﻿ / 44.97722; 5.85583﻿ (1172. Le Tabor (2389 m))
","Taillefer Massif
","I/A-05.IV-A
","Isère
","FR
"
125,"1173
","Großer Hochkasten
",2389.0,342.0,"47°40′25″N 14°02′51″E﻿ / ﻿47.67361°N 14.04750°E﻿ / 47.67361; 14.04750﻿ (1173. Großer Hochkasten (2389 m))
","Totes Gebirge
","II/B-25.III-A
","Styria
","AT
"
126,"1174
","Warscheneck
",2388.0,655.0,"47°39′09″N 14°14′29″E﻿ / ﻿47.65250°N 14.24139°E﻿ / 47.65250; 14.24139﻿ (1174. Warscheneck (2388 m))
","Totes Gebirge
","II/B-25.III-B
","Upper Austria
","AT
"
127,"1175
","Elferkopf [de]
",2387.0,451.0,"47°18′08″N 10°10′40″E﻿ / ﻿47.30222°N 10.17778°E﻿ / 47.30222; 10.17778﻿ (1175. Elferkopf (2387 m))
","Allgäu Alps
","II/B-22.II-A
","Vorarlberg
","AT
"
128,"1176
","Gamskögel [de]
",2386.0,522.0,"47°21′57″N 14°32′54″E﻿ / ﻿47.36583°N 14.54833°E﻿ / 47.36583; 14.54833﻿ (1176. Gamskögel (2386 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
"
129,"1177
","Gamsberg
",2385.0,1358.0,"47°08′8″N 09°22′34″E﻿ / ﻿47.13556°N 9.37611°E﻿ / 47.13556; 9.37611﻿ (1177. Gamsberg (2385 m))
","Appenzell Alps
","I/B-14.V-A
","St. Gallen
","CH
"
130,"1178
","Roc de Garnesier
",2383.0,393.0,"44°39′38″N 05°47′33″E﻿ / ﻿44.66056°N 5.79250°E﻿ / 44.66056; 5.79250﻿ (1178. Roc de Garnesier (2383 m))
","Dévoluy Mountains
","I/A-06.I-B
","Drôme  / Hautes-Alpes
","FR
"
131,"1179
","Rudiger
",2382.0,310.0,"47°19′45″N 10°42′06″E﻿ / ﻿47.32917°N 10.70167°E﻿ / 47.32917; 10.70167﻿ (1179. Rudiger (2382 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
132,"1180
","Monte Cimone
",2379.0,399.0,"46°25′25″N 13°23′07″E﻿ / ﻿46.42361°N 13.38528°E﻿ / 46.42361; 13.38528﻿ (1180. Monte Cimone (2379 m))
","Julian Alps
","II/C-34.I-A
","Udine
","IT
"
133,"1181
","Monte Ponteranica
",2378.0,375.0,"46°01′45″N 09°35′44″E﻿ / ﻿46.02917°N 9.59556°E﻿ / 46.02917; 9.59556﻿ (1181. Monte Ponteranica (2378 m))
","Bergamo Alps
","II/C-29.I-B
","Bergamo / Sondrio
","IT
"
134,"1182
","Gartnerwand [de]
",2377.0,434.0,"47°23′06″N 10°49′16″E﻿ / ﻿47.38500°N 10.82111°E﻿ / 47.38500; 10.82111﻿ (1182. Gartnerwand (2377 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
135,"1183
","Knittelkarspitze [de]
",2376.0,1017.0,"47°22′32″N 10°39′04″E﻿ / ﻿47.37556°N 10.65111°E﻿ / 47.37556; 10.65111﻿ (1183. Knittelkarspitze (2376 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
136,"1184
","Vilan
",2376.0,416.0,"47°00′46″N 09°36′11″E﻿ / ﻿47.01278°N 9.60306°E﻿ / 47.01278; 9.60306﻿ (1184. Vilan (2376 m))
","Rätikon
","II/A-15.VIII-A
","Graubünden
","CH
"
137,"1185
","Pizzo di Campel
",2376.0,332.0,"46°19′55″N 09°15′42″E﻿ / ﻿46.33194°N 9.26167°E﻿ / 46.33194; 9.26167﻿ (1185. Pizzo di Campel (2376 m))
","Adula Alps
","I/B-10.III-D
","Graubünden
","CH
"
138,"1186
","Hochweberspitze
",2375.0,335.0,"47°18′32″N 14°12′02″E﻿ / ﻿47.30889°N 14.20056°E﻿ / 47.30889; 14.20056﻿ (1186. Hochweberspitze (2375 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
139,"1187
","Reither Spitze
",2374.0,300.0,"47°19′23″N 11°14′10″E﻿ / ﻿47.32306°N 11.23611°E﻿ / 47.32306; 11.23611﻿ (1187. Reither Spitze (2374 m))
","Karwendel
","II/B-21.IV-A
","North Tyrol
","AT
"
140,"1188
","La Croix de Cassini
",2373.0,371.0,"45°04′24″N 06°08′03″E﻿ / ﻿45.07333°N 6.13417°E﻿ / 45.07333; 6.13417﻿ (1188. La Croix de Cassini (2373 m))
","Dauphiné Alps
","I/A-05.I-B
","Isère
","FR
"
141,"1189
","Plenge
",2373.0,303.0,"46°39′09″N 12°54′01″E﻿ / ﻿46.65250°N 12.90028°E﻿ / 46.65250; 12.90028﻿ (1189. Plenge (2373 m))
","Carnic Alps
","II/C-33.I-A
","Carinthia
","AT
"
142,"1190
","Reißkofel
",2371.0,1390.0,"46°41′09″N 13°08′50″E﻿ / ﻿46.68583°N 13.14722°E﻿ / 46.68583; 13.14722﻿ (1190. Reißkofel (2371 m))
","Gailtal Alps
","II/C-33.II-D
","Carinthia
","AT
"
143,"1191
","Tschirgant [de]
",2370.0,1263.0,"47°14′30″N 10°47′47″E﻿ / ﻿47.24167°N 10.79639°E﻿ / 47.24167; 10.79639﻿ (1191. Tschirgant (2370 m))
","Mieminger Chain
","II/B-21.III-A
","North Tyrol
","AT
"
144,"1192
","Hohe Pressing
",2370.0,485.0,"46°56′16″N 13°41′32″E﻿ / ﻿46.93778°N 13.69222°E﻿ / 46.93778; 13.69222﻿ (1192. Hohe Pressing (2370 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
"
145,"1193
","Hochtor
",2369.0,1520.0,"47°33′42″N 14°37′58″E﻿ / ﻿47.56167°N 14.63278°E﻿ / 47.56167; 14.63278﻿ (1193. Hochtor (2369 m))
","Ennstal Alps
","II/B-26.I-B
","Styria
","AT
"
146,"1194
","Monte Pegherolo
",2369.0,350.0,"46°01′29″N 09°42′49″E﻿ / ﻿46.02472°N 9.71361°E﻿ / 46.02472; 9.71361﻿ (1194. Monte Pegherolo (2369 m))
","Bergamo Alps
","II/C-29.I-B
","Bergamo
","IT
"
147,"1195
","Gehrenspitze [de]
",2367.0,319.0,"47°23′12″N 11°08′06″E﻿ / ﻿47.38667°N 11.13500°E﻿ / 47.38667; 11.13500﻿ (1195. Gehrenspitze (2367 m))
","Wetterstein
","II/B-21.III-B
","North Tyrol
","AT
"
148,"1196
","Großer Rettenstein
",2366.0,680.0,"47°19′58″N 12°17′49″E﻿ / ﻿47.33278°N 12.29694°E﻿ / 47.33278; 12.29694﻿ (1196. Großer Rettenstein (2366 m))
","Kitzbühel Alps
","II/B-23.II-A
","North Tyrol / Salzburg
","AT
"
149,"1197
","Croda de R'Ancona
",2366.0,338.0,"46°36′51″N 12°07′04″E﻿ / ﻿46.61417°N 12.11778°E﻿ / 46.61417; 12.11778﻿ (1197. Croda de R'Ancona (2366 m))
","Dolomites – NE
","II/C-31.I-B
","Belluno
","IT
"
150,"1198
","Geißstein
",2363.0,1089.0,"47°20′15″N 12°29′44″E﻿ / ﻿47.33750°N 12.49556°E﻿ / 47.33750; 12.49556﻿ (1198. Geißstein (2363 m))
","Kitzbühel Alps
","II/B-23.II-C
","North Tyrol / Salzburg
","AT
"
151,"1199
","Pusterwalder Hohenwart
",2363.0,375.0,"47°19′44″N 14°14′11″E﻿ / ﻿47.32889°N 14.23639°E﻿ / 47.32889; 14.23639﻿ (1199. Pusterwalder Hohenwart (2363 m))
","Wölz Tauern
","II/A-18.III-A
","Styria
","AT
"
152,"1200
","Niesen
",2362.0,407.0,"46°38′46″N 07°39′09″E﻿ / ﻿46.64611°N 7.65250°E﻿ / 46.64611; 7.65250﻿ (1200. Niesen (2362 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
"
153,"1201
","Wistätthorn
",2362.0,370.0,"46°27′15″N 07°23′11″E﻿ / ﻿46.45417°N 7.38639°E﻿ / 46.45417; 7.38639﻿ (1201. Wistätthorn (2362 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
"
154,"
","Cima Brica
",2362.0,299.0,"46°22′49″N 12°32′01″E﻿ / ﻿46.38028°N 12.53361°E﻿ / 46.38028; 12.53361﻿ (Cima Brica (2362 m))
","Carnic Prealps
","II/C-33.III-A
","Udine
","IT
"
155,"1202
","Großes Teufelshorn
",2361.0,341.0,"47°29′21″N 13°02′10″E﻿ / ﻿47.48917°N 13.03611°E﻿ / 47.48917; 13.03611﻿ (1202. Großes Teufelshorn (2361 m))
","Berchtesgaden Alps
","II/B-24.III-B
","Salzburg / Bavaria
","AT/DE
"
156,"1203
","Poncione Piancascia
",2360.0,325.0,"46°17′55″N 08°44′01″E﻿ / ﻿46.29861°N 8.73361°E﻿ / 46.29861; 8.73361﻿ (1203. Poncione Piancascia (2360 m))
","Ticino Alps
","I/B-10.II-D
","Ticino
","CH
"
157,"1204
","Vigna Soliva
",2356.0,403.0,"46°00′25″N 09°59′13″E﻿ / ﻿46.00694°N 9.98694°E﻿ / 46.00694; 9.98694﻿ (1204. Vigna Soliva (2356 m))
","Bergamasque Prealps
","II/C-29.II-C
","Bergamo
","IT
"
158,"1205
","Großer Rosszahn
",2356.0,317.0,"47°23′14″N 10°28′08″E﻿ / ﻿47.38722°N 10.46889°E﻿ / 47.38722; 10.46889﻿ (1205. Großer Rosszahn (2356 m))
","Allgäu Alps
","II/B-22.II-C
","North Tyrol
","AT
"
159,"1206
","Grimming
",2351.0,1518.0,"47°31′14″N 14°01′1″E﻿ / ﻿47.52056°N 14.01694°E﻿ / 47.52056; 14.01694﻿ (1206. Grimming (2351 m))
","Dachstein Mts
","II/B-25.I-C
","Styria
","AT
"
160,"1207
","La Tournette
",2351.0,1514.0,"45°49′38″N 06°17′11″E﻿ / ﻿45.82722°N 6.28639°E﻿ / 45.82722; 6.28639﻿ (1207. La Tournette (2351 m))
","Bornes Massif
","I/B-08.IV-B
","Haute-Savoie
","FR
"
161,"1208
","Brienzer Rothorn
",2350.0,1342.0,"46°47′14″N 08°02′49″E﻿ / ﻿46.78722°N 8.04694°E﻿ / 46.78722; 8.04694﻿ (1208. Brienzer Rothorn (2350 m))
","Emmental Alps
","I/B-14.II-C
","Bern / Lucerne / Obwalden
","CH
"
162,"1209
","Wittenberghorn
",2350.0,465.0,"46°24′58″N 07°12′36″E﻿ / ﻿46.41611°N 7.21000°E﻿ / 46.41611; 7.21000﻿ (1209. Wittenberghorn (2350 m))
","Vaud Alps
","I/B-14.I-A
","Bern / Vaud
","CH
"
163,"1210
","Seekarspitze [de]
",2350.0,324.0,"47°16′22″N 13°32′38″E﻿ / ﻿47.27278°N 13.54389°E﻿ / 47.27278; 13.54389﻿ (1210. Seekarspitze (2350 m))
","Schladming Tauern
","II/A-18.II-A
","Salzburg
","AT
"
164,"1211
","Kahlersberg
",2350.0,315.0,"47°31′53″N 13°01′56″E﻿ / ﻿47.53139°N 13.03222°E﻿ / 47.53139; 13.03222﻿ (1211. Kahlersberg (2350 m))
","Berchtesgaden Alps
","II/B-24.III-B
","Salzburg / Bavaria
","AT/DE
"
165,"1211
","Cima di Canogia
",2350.0,315.0,"46°12′29″N 08°24′49″E﻿ / ﻿46.20806°N 8.41361°E﻿ / 46.20806; 8.41361﻿ (1211. Cima di Canogia (2350 m))
","Ticino Alps
","I/B-10.II-B
","V-C-O
","IT
"
166,"1213
","Bavški Grintavec [de]
",2347.0,357.0,"46°22′08″N 13°40′15″E﻿ / ﻿46.36889°N 13.67083°E﻿ / 46.36889; 13.67083﻿ (1213. Bavški Grintavec (2347 m))
","Julian Alps
","II/C-34.I-C
","Slovenia
","SI
"
167,"1214
","Pletzen [de]
",2345.0,448.0,"47°19′59″N 14°37′02″E﻿ / ﻿47.33306°N 14.61722°E﻿ / 47.33306; 14.61722﻿ (1214. Pletzen (2345 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
"
168,"1215
","Cimon del Teverone
",2345.0,417.0,"46°12′33″N 12°24′10″E﻿ / ﻿46.20917°N 12.40278°E﻿ / 46.20917; 12.40278﻿ (1215. Cimon del Teverone (2345 m))
","Venetian Prealps
","II/C-32.II-B
","Belluno / Pordenone
","IT
"
169,"1216
","Ellmauer Halt
",2344.0,1551.0,"47°33′44″N 12°18′11″E﻿ / ﻿47.56222°N 12.30306°E﻿ / 47.56222; 12.30306﻿ (1216. Ellmauer Halt (2344 m))
","Kaiser Mountains
","II/B-21.VI-A
","North Tyrol
","AT
"
170,"1217
","Kellerjoch (Kreuzjoch)
",2344.0,669.0,"47°19′08″N 11°46′15″E﻿ / ﻿47.31889°N 11.77083°E﻿ / 47.31889; 11.77083﻿ (1217. Kellerjoch (Kreuzjoch) (2344 m))
","Tux Alps
","II/B-23.I-B
","North Tyrol
","AT
"
171,"1218
","Steinfeldspitze
",2344.0,542.0,"47°15′58″N 13°27′07″E﻿ / ﻿47.26611°N 13.45194°E﻿ / 47.26611; 13.45194﻿ (1218. Steinfeldspitze (2344 m))
","Radstadt Tauern
","II/A-18.I-A
","Salzburg
","AT
"
172,"1219
","Monte Chétif [it]
",2343.0,389.0,"45°47′59″N 06°56′56″E﻿ / ﻿45.79972°N 6.94889°E﻿ / 45.79972; 6.94889﻿ (1219. Monte Chétif (2343 m))
","Graian Alps
","I/B-07.III-B
","Aosta Valley
","IT
"
173,"1220
","Briceljk [sl]
",2343.0,363.0,"46°23′41″N 13°37′55″E﻿ / ﻿46.39472°N 13.63194°E﻿ / 46.39472; 13.63194﻿ (1220. Briceljk (2343 m))
","Julian Alps
","II/C-34.I-C
","Slovenia
","SI
"
174,"1221
","Grand Veymont
",2341.0,1165.0,"44°52′12″N 05°31′36″E﻿ / ﻿44.87000°N 5.52667°E﻿ / 44.87000; 5.52667﻿ (1221. Grand Veymont (2341 m))
","Vercors Massif
","I/A-06.III-A
","Isère
","FR
"
175,"1222
","Thaneller
",2341.0,992.0,"47°25′35″N 10°43′29″E﻿ / ﻿47.42639°N 10.72472°E﻿ / 47.42639; 10.72472﻿ (1222. Thaneller (2341 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
176,"1223
","Crève Tête
",2341.0,363.0,"45°27′04″N 06°28′04″E﻿ / ﻿45.45111°N 6.46778°E﻿ / 45.45111; 6.46778﻿ (1223. Crève Tête (2341 m))
","Vanoise massif
","I/B-07.II-E
","Savoie
","FR
"
177,"1224
","Wasserbergfirst
",2341.0,325.0,"46°56′22″N 08°47′21″E﻿ / ﻿46.93944°N 8.78917°E﻿ / 46.93944; 8.78917﻿ (1224. Wasserbergfirst (2341 m))
","Schwyz Alps
","I/B-14.IV-A
","Schwyz
","CH
"
178,"
","Elsighore
",2341.0,296.0,"46°32′05″N 07°38′23″E﻿ / ﻿46.53472°N 7.63972°E﻿ / 46.53472; 7.63972﻿ (Elsighore (2341 m))
","Bernese Alps
","I/B-14.II-A
","Bern
","CH
"
179,"1225
","Daniel
",2340.0,1233.0,"47°25′58″N 10°52′49″E﻿ / ﻿47.43278°N 10.88028°E﻿ / 47.43278; 10.88028﻿ (1225. Daniel (2340 m))
","Ammergau Alps
","II/B-22.III-A
","North Tyrol
","AT
"
180,"1226
","Pied Moutet
",2339.0,681.0,"45°00′26″N 06°05′46″E﻿ / ﻿45.00722°N 6.09611°E﻿ / 45.00722; 6.09611﻿ (1226. Pied Moutet (2339 m))
","Massif des Écrins
","I/A-05.III-B
","Isère
","FR
"
181,"1227
","Aserlespitze
",2337.0,329.0,"47°20′26″N 10°45′27″E﻿ / ﻿47.34056°N 10.75750°E﻿ / 47.34056; 10.75750﻿ (1227. Aserlespitze (2337 m))
","Lechtal Alps
","II/B-21.I-B
","North Tyrol
","AT
"
182,"1228
","Großer Grießstein
",2337.0,328.0,"47°23′27″N 14°32′24″E﻿ / ﻿47.39083°N 14.54000°E﻿ / 47.39083; 14.54000﻿ (1228. Großer Grießstein (2337 m))
","Seckau Tauern
","II/A-18.IV-A
","Styria
","AT
"
183,"1229
","Cima Dodici
",2336.0,1874.0,"45°59′51″N 11°28′05″E﻿ / ﻿45.99750°N 11.46806°E﻿ / 45.99750; 11.46806﻿ (1229. Cima Dodici (2336 m))
","Vicentine Alps
","II/C-32.I-A
","Vicenza / Trentino
","IT
"
184,"1230
","Hochmölbing
",2336.0,339.0,"47°38′03″N 14°10′41″E﻿ / ﻿47.63417°N 14.17806°E﻿ / 47.63417; 14.17806﻿ (1230. Hochmölbing (2336 m))
","Totes Gebirge
","II/B-25.III-B
","Styria
","AT
"
185,"1231
","Monte Pavione [it]
",2335.0,597.0,"46°06′17″N 11°49′16″E﻿ / ﻿46.10472°N 11.82111°E﻿ / 46.10472; 11.82111﻿ (1231. Monte Pavione (2335 m))
","Dolomites – S
","II/C-31.IV-B
","Belluno
","IT
"
186,"1232
","Pizzo del Moro
",2335.0,516.0,"45°55′49″N 08°07′29″E﻿ / ﻿45.93028°N 8.12472°E﻿ / 45.93028; 8.12472﻿ (1232. Pizzo del Moro (2335 m))
","Monte Rosa Alps
","I/B-09.III-C
","V-C-O / Vercelli
","IT
"
187,"1233
","Monte Mucrone
",2335.0,309.0,"45°37′13″N 07°56′41″E﻿ / ﻿45.62028°N 7.94472°E﻿ / 45.62028; 7.94472﻿ (1233. Monte Mucrone (2335 m))
","Biellese Alps
","I/B-09.IV-A
","Biella
","IT
"
188,"1234
","Monte Terza Piccola [it]
",2334.0,660.0,"46°33′36″N 12°37′29″E﻿ / ﻿46.56000°N 12.62472°E﻿ / 46.56000; 12.62472﻿ (1234. Monte Terza Piccola (2334 m))
","Carnic Alps
","II/C-33.I-C
","Udine
","IT
"
189,"1235
","Rinsennock
",2334.0,435.0,"46°54′32″N 13°51′05″E﻿ / ﻿46.90889°N 13.85139°E﻿ / 46.90889; 13.85139﻿ (1235. Rinsennock (2334 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
"
190,"1236
","Gailtaler Polinik
",2332.0,975.0,"46°37′38″N 12°58′56″E﻿ / ﻿46.62722°N 12.98222°E﻿ / 46.62722; 12.98222﻿ (1236. Gailtaler Polinik (2332 m))
","Carnic Alps
","II/C-33.I-B
","Carinthia
","AT
"
191,"1237
","Maurerberg
",2332.0,469.0,"46°42′15″N 11°49′17″E﻿ / ﻿46.70417°N 11.82139°E﻿ / 46.70417; 11.82139﻿ (1237. Maurerberg (2332 m))
","Dolomites – NW
","II/C-31.III-A
","South Tyrol
","IT
"
192,"1238
","Tour d'Aï
",2331.0,886.0,"46°22′20″N 07°00′07″E﻿ / ﻿46.37222°N 7.00194°E﻿ / 46.37222; 7.00194﻿ (1238. Tour d'Aï (2331 m))
","Vaud Alps
","I/B-14.I-A
","Vaud
","CH
"
193,"1239
","Klomnock [de]
",2331.0,360.0,"46°52′51″N 13°47′17″E﻿ / ﻿46.88083°N 13.78806°E﻿ / 46.88083; 13.78806﻿ (1239. Klomnock (2331 m))
","Nock Mountains
","II/A-19.I-A
","Carinthia
","AT
"
194,"1240
","Ackerlspitze
",2329.0,359.0,"47°33′33″N 12°20′51″E﻿ / ﻿47.55917°N 12.34750°E﻿ / 47.55917; 12.34750﻿ (1240. Ackerlspitze (2329 m))
","Kaiser Mountains
","II/B-21.VI-A
","North Tyrol
","AT
"
195,"1241
","Bernkogel
",2325.0,330.0,"47°14′55″N 13°02′36″E﻿ / ﻿47.24861°N 13.04333°E﻿ / 47.24861; 13.04333﻿ (1241. Bernkogel (2325 m))
","Goldberg Group
","II/A-17.II-E
","Salzburg
","AT
"
196,"1242
","Monte Piana
",2324.0,450.0,"46°36′55″N 12°14′33″E﻿ / ﻿46.61528°N 12.24250°E﻿ / 46.61528; 12.24250﻿ (1242. Monte Piana (2324 m))
","Sexten Dolomites
","II/C-31.I-A
","Belluno / South Tyrol
","IT
"
197,"1243
","Cavallazza [it]
",2324.0,349.0,"46°16′44″N 11°46′35″E﻿ / ﻿46.27889°N 11.77639°E﻿ / 46.27889; 11.77639﻿ (1243. Cavallazza (2324 m))
","Fiemme Mountains
","II/C-31.V-B
","Trentino
","IT
"
198,"1244
","Cornaget [it]
",2323.0,619.0,"46°18′43″N 12°35′04″E﻿ / ﻿46.31194°N 12.58444°E﻿ / 46.31194; 12.58444﻿ (1244. Cornaget (2323 m))
","Carnic Prealps
","II/C-33.III-B
","Pordenone
","IT
"
