,"Rank[Note 1]
","Mountain
","Height(m)[1]
","Drop (m)[Note 2]
","Coordinates[2]
","Range [Note 3]
","Range[Note 4]
","Region [Note 5]
","Country
","First[3]ascent
"
96,"627
","Monte Ciorneva
",2918.0,483.0,"45°16′06″N 07°15′37″E﻿ / ﻿45.26833°N 7.26028°E﻿ / 45.26833; 7.26028﻿ (627. Monte Ciorneva (2918 m))
","Graian Alps - SE
","I/B-07.I-C
","Turin
","IT
","
"
97,"628
","Mulleter Seichenkopf
",2918.0,389.0,"46°54′55″N 12°49′53″E﻿ / ﻿46.91528°N 12.83139°E﻿ / 46.91528; 12.83139﻿ (628. Mulleter Seichenkopf (2918 m))
","Schober Group
","II/A-17.II-D
","Carinthia/E-Tyrol
","AT
","1890
"
98,"629
","Corno di Flavona
",2918.0,305.0,"46°14′44″N 10°53′49″E﻿ / ﻿46.24556°N 10.89694°E﻿ / 46.24556; 10.89694﻿ (629. Corno di Flavona (2918 m))
","Brenta Dolomites
","II/C-28.IV-A
","Trentino
","IT
","1881
"
99,"630
","Cima Bel Pra
",2917.0,431.0,"46°29′04″N 12°14′28″E﻿ / ﻿46.48444°N 12.24111°E﻿ / 46.48444; 12.24111﻿ (630. Cima Bel Pra (2917 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
","1880
"
100,"631
","Dent Favre
",2917.0,315.0,"46°12′37″N 07°06′14″E﻿ / ﻿46.21028°N 7.10389°E﻿ / 46.21028; 7.10389﻿ (631. Dent Favre (2917 m))
","Vaud Alps
","I/B-12.III-A
","Valais/Vaud
","CH
","
"
101,"632
","Pizzo del Diavolo di Tenda
",2916.0,506.0,"46°02′43″N 09°54′29″E﻿ / ﻿46.04528°N 9.90806°E﻿ / 46.04528; 9.90806﻿ (632. Pizzo del Diavolo di Tenda (2916 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo/Sondrio
","IT
","1870
"
102,"633
","Pointe Côte de l'Âne [fr]
",2916.0,472.0,"44°14′40″N 06°48′17″E﻿ / ﻿44.24444°N 6.80472°E﻿ / 44.24444; 6.80472﻿ (633. Pte Côte de l'Âne (2916 m))
","Maritime Alps
","I/A-02.I-D
","Alpes Maritimes
","FR
","
"
103,"634
","Maresenspitz
",2916.0,324.0,"47°00′15″N 13°13′49″E﻿ / ﻿47.00417°N 13.23028°E﻿ / 47.00417; 13.23028﻿ (634. Maresenspitz (2916 m))
","Ankogel Group
","II/A-17.II-F
","Carinthia
","AT
","
"
104,"635
","L'Aupillon
",2916.0,303.0,"44°26′56″N 06°34′43″E﻿ / ﻿44.44889°N 6.57861°E﻿ / 44.44889; 6.57861﻿ (635. L'Aupillon (2916 m))
","Southern Cottian Alps
","I/A-04.I-B
","A-d-H-Provence
","FR
","
"
105,"636
","Glärnisch
",2915.0,967.0,"46°59′42″N 08°59′43″E﻿ / ﻿46.99500°N 8.99528°E﻿ / 46.99500; 8.99528﻿ (636. Glärnisch (2915 m))
","Schwyz Alps
","I/B-13.I-B
","Glarus
","CH
","
"
106,"637
","Pflunspitze
",2912.0,977.0,"47°04′46″N 10°07′58″E﻿ / ﻿47.07944°N 10.13278°E﻿ / 47.07944; 10.13278﻿ (637. Pflunspitze (2912 m))
","Verwall
","II/A-15.VI-C
","N-Tyrol/Vorarlb.
","AT
","1886
"
107,"638
","Cristallina
",2912.0,344.0,"46°27′53″N 08°32′13″E﻿ / ﻿46.46472°N 8.53694°E﻿ / 46.46472; 8.53694﻿ (638. Cristallina (2912 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
"
108,"639
","Beco Alto del Piz
",2912.0,312.0,"44°17′56″N 06°58′51″E﻿ / ﻿44.29889°N 6.98083°E﻿ / 44.29889; 6.98083﻿ (639. Beco Alto del Piz (2912 m))
","Maritime Alps
","I/A-02.I-C
","Cuneo
","IT
","
"
109,"
","Monte Torena
",2911.0,299.0,"46°05′18″N 10°06′11″E﻿ / ﻿46.08833°N 10.10306°E﻿ / 46.08833; 10.10306﻿ (Monte Torena (2911 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo/Sondrio
","IT
","
"
110,"640
","Pic du Béal Traversier [it]
",2910.0,550.0,"44°45′25″N 06°41′22″E﻿ / ﻿44.75694°N 6.68944°E﻿ / 44.75694; 6.68944﻿ (640. Pic du Béal Traversier (2910 m))
","Central Cottian Alps
","I/A-04.II-B
","Hautes-Alpes
","FR
","
"
111,"641
","Aiguille de Cédéra
",2909.0,458.0,"44°44′19″N 06°17′05″E﻿ / ﻿44.73861°N 6.28472°E﻿ / 44.73861; 6.28472﻿ (641. Aig. de Cédéra (2909 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
","
"
112,"642
","Grande Séolane [fr]
",2909.0,385.0,"44°20′16″N 06°32′47″E﻿ / ﻿44.33778°N 6.54639°E﻿ / 44.33778; 6.54639﻿ (642. Grande Séolane (2909 m))
","Provence Alps
","I/A-03.1-A
","A-d-H-Provence
","FR
","
"
113,"643
","Puy Gris
",2908.0,379.0,"45°17′45″N 06°08′46″E﻿ / ﻿45.29583°N 6.14611°E﻿ / 45.29583; 6.14611﻿ (643. Puy Gris (2908 m))
","Belledonne
","I/A-05.II-A
","Savoie
","FR
","
"
114,"644
","Pizzo Diei
",2906.0,623.0,"46°15′53″N 08°14′17″E﻿ / ﻿46.26472°N 8.23806°E﻿ / 46.26472; 8.23806﻿ (644. Pizzo Diei (2906 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","V-C-O
","IT
","
"
115,"
","Les Grandes Aiguilles
",2905.0,293.0,"45°42′20″N 06°47′06″E﻿ / ﻿45.70556°N 6.78500°E﻿ / 45.70556; 6.78500﻿ (Les Grandes Aigs (2905 m))
","Mont Blanc massif
","I/B-07.III-B
","Savoie
","FR
","
"
116,"645
","Signal du Lauvitel E
",2904.0,306.0,"44°56′20″N 06°02′51″E﻿ / ﻿44.93889°N 6.04750°E﻿ / 44.93889; 6.04750﻿ (645. Signal du Lauvitel E (2904 m))
","Massif des Écrins
","I/A-05.III-E
","Isère
","FR
","
"
117,"646
","Pic de Peyre Eyraute
",2903.0,400.0,"44°49′22″N 06°37′50″E﻿ / ﻿44.82278°N 6.63056°E﻿ / 44.82278; 6.63056﻿ (646. Pic de Peyre Eyraute (2903 m))
","Central Cottian Alps
","I/A-04.II-B
","Hautes-Alpes
","FR
","
"
118,"647
","Piz Combul
",2901.0,313.0,"46°13′47″N 10°02′38″E﻿ / ﻿46.22972°N 10.04389°E﻿ / 46.22972; 10.04389﻿ (647. Piz Combul (2901 m))
","Bernina Range
","II/A-15.III-A
","Graub./Sondrio
","CH/IT
","
"
119,"648
","Grand Chavalard
",2899.0,446.0,"46°10′43″N 07°06′47″E﻿ / ﻿46.17861°N 7.11306°E﻿ / 46.17861; 7.11306﻿ (648. Grand Chavalard (2899 m))
","Vaud Alps
","I/B-12.III-A
","Valais
","CH
","
"
120,"649
","Becca de Nona
",2898.0,375.0,"45°50′23″N 07°24′58″E﻿ / ﻿45.83972°N 7.41611°E﻿ / 45.83972; 7.41611﻿ (649. Becca di Nona (2898 m))
","Weisshorn-Matterhorn
","I/B-09.II-B
","Aosta Valley
","IT
","
"
121,"650
","Le Pouzenc [fr]
",2898.0,374.0,"44°27′33″N 06°31′01″E﻿ / ﻿44.45917°N 6.51694°E﻿ / 44.45917; 6.51694﻿ (650. Le Pouzenc (2898 m))
","Southern Cottian Alps
","I/A-04.I-B
","A-d-H-Provence
","FR
","
"
122,"651
","Monte Frisozzo
",2897.0,609.0,"46°01′28″N 10°26′57″E﻿ / ﻿46.02444°N 10.44917°E﻿ / 46.02444; 10.44917﻿ (651. Monte Frisozzo (2897 m))
","Adamello-Presanella
","II/C-28.III-A
","Brescia
","IT
","1854
"
123,"652
","Holzgauer Wetterspitze
",2895.0,592.0,"47°12′23″N 10°22′10″E﻿ / ﻿47.20639°N 10.36944°E﻿ / 47.20639; 10.36944﻿ (652. Holzgauer Wetterspitze (2895 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","1832
"
124,"653
","Reinhart
",2891.0,318.0,"47°02′32″N 12°10′47″E﻿ / ﻿47.04222°N 12.17972°E﻿ / 47.04222; 12.17972﻿ (653. Reinhart (2891 m))
","Venediger Group
","II/A-17.II-A
","South Tyrol
","IT
","1893
"
125,"654
","Regenstein
",2891.0,316.0,"46°51′38″N 12°29′26″E﻿ / ﻿46.86056°N 12.49056°E﻿ / 46.86056; 12.49056﻿ (654. Regenstein (2891 m))
","Villgraten Mountains
","II/A-17.III-B
","East Tyrol
","AT
","
"
126,"655
","Monte Orsiera
",2890.0,859.0,"45°03′50″N 07°06′26″E﻿ / ﻿45.06389°N 7.10722°E﻿ / 45.06389; 7.10722﻿ (655. Monte Orsiera (2890 m))
","Central Cottian Alps
","I/A-04.II-A
","Turin
","IT
","
"
127,"656
","Schwarzhorn / Piz Gren
",2890.0,355.0,"46°40′39″N 09°01′22″E﻿ / ﻿46.67750°N 9.02278°E﻿ / 46.67750; 9.02278﻿ (656. Schwarzhorn / Piz Gren (2890 m))
","Adula Alps
","I/B-10.III-A
","Graubünden
","CH
","
"
128,"657
","Monte Re di Castello
",2889.0,312.0,"46°01′18″N 10°29′00″E﻿ / ﻿46.02167°N 10.48333°E﻿ / 46.02167; 10.48333﻿ (657. Monte Re di Castello (2889 m))
","Adamello-Presanella
","II/C-28.III-A
","Brescia/Trentino
","IT
","1854
"
129,"658
","Vorderseespitze
",2889.0,310.0,"47°11′05″N 10°22′01″E﻿ / ﻿47.18472°N 10.36694°E﻿ / 47.18472; 10.36694﻿ (658. Vorderseespitze (2889 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","1855
"
130,"659
","Napfspitze
",2888.0,343.0,"46°56′13″N 11°44′22″E﻿ / ﻿46.93694°N 11.73944°E﻿ / 46.93694; 11.73944﻿ (659. Napfspitze (2888 m))
","Zillertal Alps
","II/A-17.I-C
","South Tyrol
","IT
","
"
131,"660
","Schildflue
",2887.0,333.0,"46°52′50″N 09°57′23″E﻿ / ﻿46.88056°N 9.95639°E﻿ / 46.88056; 9.95639﻿ (660. Schildflue (2887 m))
","Silvretta
","II/A-15.VI-A
","Graubünden
","CH
","
"
132,"661
","Wissigstock
",2887.0,329.0,"46°50′44″N 08°30′24″E﻿ / ﻿46.84556°N 8.50667°E﻿ / 46.84556; 8.50667﻿ (661. Wissigstock (2887 m))
","Urner Alps
","I/B-12.I-B
","Obwalden/Uri
","CH
","
"
133,"662
","Lizumer Reckner
",2886.0,548.0,"47°08′38″N 11°37′51″E﻿ / ﻿47.14389°N 11.63083°E﻿ / 47.14389; 11.63083﻿ (662. Lizumer Reckner (2886 m))
","Tux Alps
","II/B-23.I-A
","North Tyrol
","AT
","
"
134,"663
","Guggernüll
",2886.0,377.0,"46°31′26″N 09°16′17″E﻿ / ﻿46.52389°N 9.27139°E﻿ / 46.52389; 9.27139﻿ (663. Guggernüll (2886 m))
","Adula Alps
","I/B-10.III-D
","Graubünden
","CH
","
"
135,"664
","Le Chevalier
",2886.0,373.0,"44°19′50″N 06°45′33″E﻿ / ﻿44.33056°N 6.75917°E﻿ / 44.33056; 6.75917﻿ (664. Le Chevalier (2886 m))
","Maritime Alps
","I/A-02.I-C
","Alpes Maritimes
","FR
","
"
136,"664
","Pizzo Recastello
",2886.0,373.0,"46°03′25″N 10°04′32″E﻿ / ﻿46.05694°N 10.07556°E﻿ / 46.05694; 10.07556﻿ (664. Pizzo Recastello (2886 m))
","Bergamo Alps
","II/C-29.I-A
","Bergamo
","IT
","1876
"
137,"666
","Rietzer Grießkogel
",2884.0,867.0,"47°14′45″N 11°03′34″E﻿ / ﻿47.24583°N 11.05944°E﻿ / 47.24583; 11.05944﻿ (666. Rietzer Grießkogel (2884 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
","1829
"
138,"667
","Monteaviolo
",2881.0,561.0,"46°11′07″N 10°23′55″E﻿ / ﻿46.18528°N 10.39861°E﻿ / 46.18528; 10.39861﻿ (667. Monteaviolo (2881 m))
","Adamello-Presanella
","II/C-28.III-A
","Brescia
","IT
","
"
139,"668
","Pointe de la Terrasse
",2881.0,405.0,"45°40′15″N 06°43′29″E﻿ / ﻿45.67083°N 6.72472°E﻿ / 45.67083; 6.72472﻿ (668. Pte de la Terrasse (2881 m))
","Beaufortain Massif
","I/B-07.VI-A
","Savoie
","FR
","
"
140,"669
","Piz Fess
",2880.0,501.0,"46°43′39″N 09°17′19″E﻿ / ﻿46.72750°N 9.28861°E﻿ / 46.72750; 9.28861﻿ (669. Piz Fess (2880 m))
","Adula Alps
","I/B-10.III-C
","Graubünden
","CH
","1895
"
141,"670
","Cima della Sasse [it][Note 7]
",2878.0,402.0,"46°21′25″N 12°03′52″E﻿ / ﻿46.35694°N 12.06444°E﻿ / 46.35694; 12.06444﻿ (670. Cima della Sasse (2878 m))
","Dolomites - SE
","II/C-31.II-A
","Belluno
","IT
","
"
142,"670
","Moiazza Sud [it][Note 7]
",2878.0,402.0,"46°20′18″N 12°03′29″E﻿ / ﻿46.33833°N 12.05806°E﻿ / 46.33833; 12.05806﻿ (670. Moiazza Sud (2878 m))
","Dolomites - SE
","II/C-31.II-A
","Belluno
","IT
","1895
"
143,"672
","Pointe de Cloutzau
",2878.0,329.0,"45°00′26″N 06°44′51″E﻿ / ﻿45.00722°N 6.74750°E﻿ / 45.00722; 6.74750﻿ (672. Pte de Cloutzau (2878 m))
","Massif des Cerces
","I/A-04.III-A
","H-Alpes/Turin
","FR/IT
","
"
144,"673
","Peitlerkofel / Sas de Pütia
",2875.0,638.0,"46°39′32″N 11°49′12″E﻿ / ﻿46.65889°N 11.82000°E﻿ / 46.65889; 11.82000﻿ (673. Peitlerkofel / Sas de Pütia (2875 m))
","Dolomites - NW
","II/C-31.III-A
","South Tyrol
","IT
","1885
"
145,"674
","Eisentälispitze
",2875.0,386.0,"46°54′48″N 09°57′45″E﻿ / ﻿46.91333°N 9.96250°E﻿ / 46.91333; 9.96250﻿ (674. Eisentälispitze (2875 m))
","Silvretta
","II/A-15.VI-A
","Vorarlb/Graub.
","AT/CH
","1892
"
146,"675
","Schwalbenkofel
",2873.0,328.0,"46°39′08″N 12°16′13″E﻿ / ﻿46.65222°N 12.27028°E﻿ / 46.65222; 12.27028﻿ (675. Schwalbenkofel (2873 m))
","Sexten Dolomites
","II/C-31.I-A
","South Tyrol
","IT
","
"
147,"676
","Monte Carbonè
",2873.0,309.0,"44°09′37″N 07°25′50″E﻿ / ﻿44.16028°N 7.43056°E﻿ / 44.16028; 7.43056﻿ (676. Monte Carbonè (2873 m))
","Maritime Alps
","I/A-02.I-A
","Cuneo
","IT
","
"
148,"677
","Monte Agnèr
",2872.0,542.0,"46°16′35″N 11°57′10″E﻿ / ﻿46.27639°N 11.95278°E﻿ / 46.27639; 11.95278﻿ (677. Monte Agnèr (2872 m))
","Dolomites - S
","II/C-31.IV-A
","Belluno
","IT
","1875
"
149,"678
","Mont Bégo
",2872.0,323.0,"44°04′26″N 07°27′03″E﻿ / ﻿44.07389°N 7.45083°E﻿ / 44.07389; 7.45083﻿ (678. Mont Bégo (2872 m))
","Maritime Alps
","I/A-02.I-A
","Alpes Maritimes
","FR
","
"
150,"679
","Tête des Vieux[Note 8]
",2871.0,324.0,"45°45′32″N 06°56′06″E﻿ / ﻿45.75889°N 6.93500°E﻿ / 45.75889; 6.93500﻿ (679. Tête des Vieux  (2871 m))
","Mont Blanc massif
","I/B-07.III-B
","Aosta Valley
","IT
","
"
151,"680
","Grand Aréa
",2869.0,442.0,"44°58′48″N 06°34′24″E﻿ / ﻿44.98000°N 6.57333°E﻿ / 44.98000; 6.57333﻿ (680. Grand Aréa (2869 m))
","Massif des Cerces
","I/A-04.III-A
","Hautes-Alpes
","FR
","
"
152,"681
","Kolbenspitze
",2868.0,367.0,"46°46′22″N 11°08′52″E﻿ / ﻿46.77278°N 11.14778°E﻿ / 46.77278; 11.14778﻿ (681. Kolbenspitze (2868 m))
","Ötztal Alps
","II/A-16.I-B
","South Tyrol
","IT
","
"
153,"682
","Punta Cornour
",2868.0,417.0,"44°51′02″N 07°05′35″E﻿ / ﻿44.85056°N 7.09306°E﻿ / 44.85056; 7.09306﻿ (682. Pta Cornour (2867 m))
","Central Cottian Alps
","I/A-04.II-A
","Turin
","IT
","1836
"
154,"683
","Tête de Gaulent
",2867.0,350.0,"44°43′08″N 06°31′32″E﻿ / ﻿44.71889°N 6.52556°E﻿ / 44.71889; 6.52556﻿ (683. Tête de Gaulent (2867 m))
","Massif des Écrins
","I/A-05.III-C
","Hautes-Alpes
","FR
","
"
155,"684
","Nufenenstock
",2866.0,381.0,"46°28′01″N 08°23′18″E﻿ / ﻿46.46694°N 8.38833°E﻿ / 46.46694; 8.38833﻿ (684. Nufenenstock (2866 m))
","Leone-Gotthard Alps
","I/B-10.I-A
","Ticino/Valais
","CH
","
"
156,"685
","Rocher de Plassa
",2865.0,409.0,"45°22′23″N 06°41′21″E﻿ / ﻿45.37306°N 6.68917°E﻿ / 45.37306; 6.68917﻿ (685. Rocher de Plassa (2865 m))
","Vanoise massif
","I/B-07.II-E
","Savoie
","FR
","
"
157,"686
","Triglav
",2864.0,2048.0,"46°22′41″N 13°50′13″E﻿ / ﻿46.37806°N 13.83694°E﻿ / 46.37806; 13.83694﻿ (686. Triglav (2864 m))
","Julian Alps
","II/C-34.I-E
","West Slovenia
","SI
","1778
"
158,"687
","Pala di Meduce
",2864.0,304.0,"46°30′07″N 12°17′51″E﻿ / ﻿46.50194°N 12.29750°E﻿ / 46.50194; 12.29750﻿ (687. Pala di Meduce (2864 m))
","Dolomites - NE
","II/C-31.I-E
","Belluno
","IT
","1890
"
159,"688
","Poncione di Braga
",2864.0,301.0,"46°26′03″N 08°32′34″E﻿ / ﻿46.43417°N 8.54278°E﻿ / 46.43417; 8.54278﻿ (688. Poncione di Braga (2864 m))
","Ticino Alps
","I/B-10.II-A
","Ticino
","CH
","
"
160,"689
","Wandfluhhorn / Pizzo Biela
",2863.0,452.0,"46°20′41″N 08°27′51″E﻿ / ﻿46.34472°N 8.46417°E﻿ / 46.34472; 8.46417﻿ (689. Wandfluhhorn / Pizzo Biela (2863 m))
","Ticino Alps
","I/B-10.II-A
","Ticino/V-C-O
","CH/IT
","
"
161,"690
","Hochgolling
",2862.0,1124.0,"47°15′58″N 13°45′40″E﻿ / ﻿47.26611°N 13.76111°E﻿ / 47.26611; 13.76111﻿ (690. Hochgolling (2862 m))
","Niedere Tauern
","II/A-18.II-A
","Salzburg/Styria
","AT
","1791
"
162,"691
","Cima de Barna
",2862.0,314.0,"46°25′14″N 09°15′49″E﻿ / ﻿46.42056°N 9.26361°E﻿ / 46.42056; 9.26361﻿ (691. Cima de Barna (2862 m))
","Adula Alps
","I/B-10.III-D
","Graub./Sondrio
","CH/IT
","
"
163,"692
","Le Taillefer
",2857.0,1490.0,"45°02′23″N 05°55′28″E﻿ / ﻿45.03972°N 5.92444°E﻿ / 45.03972; 5.92444﻿ (692. Le Taillefer (2857 m))
","Taillefer Massif
","I/A-05.IV-A
","Isère
","FR
","
"
164,"693
","Gstellihorn
",2855.0,366.0,"46°39′44″N 08°10′29″E﻿ / ﻿46.66222°N 8.17472°E﻿ / 46.66222; 8.17472﻿ (693. Gstellihorn (2855 m))
","Vaud Alps
","I/B-12.III-A
","Bern
","CH
","1836
"
165,"694
","Piz di Sassiglion
",2855.0,313.0,"46°19′22″N 10°06′45″E﻿ / ﻿46.32278°N 10.11250°E﻿ / 46.32278; 10.11250﻿ (694. Piz di Sassiglion (2855 m))
","Livigno Alps
","II/A-15.IV-B
","Graub./Sondrio
","CH/IT
","
"
166,"695
","Petite Séolane
",2854.0,317.0,"44°21′27″N 06°31′48″E﻿ / ﻿44.35750°N 6.53000°E﻿ / 44.35750; 6.53000﻿ (695. Petite Séolane (2854 m))
","Provence Alps
","I/A-03.1-A
","A-d-H-Provence
","FR
","
"
167,"696
","Cima Ciantiplagna
",2849.0,673.0,"45°04′20″N 07°00′48″E﻿ / ﻿45.07222°N 7.01333°E﻿ / 45.07222; 7.01333﻿ (696. Cima Ciantiplagna (2849 m))
","Central Cottian Alps
","I/A-04.II-A
","Turin
","IT
","
"
168,"697
","Croda Granda [it]
",2849.0,492.0,"46°14′55″N 11°55′43″E﻿ / ﻿46.24861°N 11.92861°E﻿ / 46.24861; 11.92861﻿ (697. Croda Granda (2849 m))
","Dolomites - S
","II/C-31.IV-A
","Belluno
","IT
","1883
"
169,"698
","Cima d'Asta
",2847.0,939.0,"46°10′36″N 11°36′19″E﻿ / ﻿46.17667°N 11.60528°E﻿ / 46.17667; 11.60528﻿ (698. Cima d'Asta (2847 m))
","Fiemme Alps
","II/C-31.V-B
","Trentino
","IT
","1816
"
170,"699
","Punta Nera
",2847.0,431.0,"46°30′59″N 12°11′30″E﻿ / ﻿46.51639°N 12.19167°E﻿ / 46.51639; 12.19167﻿ (699. Pta Nera (2847 m))
","Dolomites - NE
","II/C-31.I-D
","Belluno
","IT
","1876
"
171,"700
","Cima del Desenigo
",2845.0,369.0,"46°12′06″N 09°33′42″E﻿ / ﻿46.20167°N 9.56167°E﻿ / 46.20167; 9.56167﻿ (700. Cima del Desenigo (2845 m))
","Bregaglia Range
","II/A-15.III-B
","Sondrio
","IT
","
"
172,"701
","Pizol
",2844.0,457.0,"46°57′33″N 09°23′12″E﻿ / ﻿46.95917°N 9.38667°E﻿ / 46.95917; 9.38667﻿ (701. Pizol (2844 m))
","Glarus Alps
","I/B-13.II-A
","St. Gallen
","CH
","1864
"
173,"702
","Punta Charrà /Sommet du Charra [it]
",2844.0,363.0,"45°01′17″N 06°42′37″E﻿ / ﻿45.02139°N 6.71028°E﻿ / 45.02139; 6.71028﻿ (702. Punta Charrà / Sommet du Charra (2844 m))
","Massif des Cerces
","I/A-04.III-A
","H-Alpes/Turin
","FR/IT
","
"
174,"703
","Weissfluh
",2843.0,497.0,"46°50′06″N 09°47′43″E﻿ / ﻿46.83500°N 9.79528°E﻿ / 46.83500; 9.79528﻿ (703. Weissfluh (2843 m))
","Plessur Alps
","II/A-15.VII-A
","Graubünden
","CH
","
"
175,"704
","Pic de Beaudouis
",2843.0,366.0,"44°50′11″N 06°41′40″E﻿ / ﻿44.83639°N 6.69444°E﻿ / 44.83639; 6.69444﻿ (704. Pic de Beaudouis (2843 m))
","Central Cottian Alps
","I/A-04.II-B
","Hautes-Alpes
","FR
","
"
176,"705
","Schneekarkopf
",2843.0,307.0,"47°08′28″N 12°02′08″E﻿ / ﻿47.14111°N 12.03556°E﻿ / 47.14111; 12.03556﻿ (705. Schneekarkopf (2843 m))
","Zillertal Alps
","II/A-17.I-D
","North Tyrol
","AT
","
"
177,"
","Cornone di Blumone
",2843.0,295.0,"45°57′17″N 10°27′21″E﻿ / ﻿45.95472°N 10.45583°E﻿ / 45.95472; 10.45583﻿ (Cornone di Blumone (2843 m))
","Adamello-Presanella
","II/C-28.III-A
","Brescia
","IT
","1878
"
178,"706
","Latemar (Diamantiditurm)
",2842.0,1097.0,"46°22′52″N 11°34′31″E﻿ / ﻿46.38111°N 11.57528°E﻿ / 46.38111; 11.57528﻿ (706. Latemar (Diamantiditurm) (2842 m))
","Fiemme Alps
","II/C-31.V-A
","S-Tyrol/Trentino
","IT
","1885
"
179,"707
","Cima di Gana Bianca
",2842.0,410.0,"46°28′17″N 08°59′32″E﻿ / ﻿46.47139°N 8.99222°E﻿ / 46.47139; 8.99222﻿ (707. Cima di Gana Bianca (2842 m))
","Adula Alps
","I/B-10.III-B
","Ticino
","CH
","
"
180,"708
","Kirchdachspitze
",2840.0,470.0,"47°04′02″N 11°20′31″E﻿ / ﻿47.06722°N 11.34194°E﻿ / 47.06722; 11.34194﻿ (708. Kirchdachspitze (2840 m))
","Stubai Alps
","II/A-16.II-A
","North Tyrol
","AT
","
"
181,"709
","Dürrenstein
",2839.0,880.0,"46°40′21″N 12°11′07″E﻿ / ﻿46.67250°N 12.18528°E﻿ / 46.67250; 12.18528﻿ (709. Dürrenstein (2839 m))
","Dolomites - NE
","II/C-31.I-B
","South Tyrol
","IT
","
"
182,"710
","Cima Cadin di San Lucano
",2839.0,663.0,"46°34′39″N 12°17′17″E﻿ / ﻿46.57750°N 12.28806°E﻿ / 46.57750; 12.28806﻿ (710. Cima Cadin di San Lucano (2839 m))
","Sexten Dolomites
","II/C-31.I-A
","Belluno
","IT
","
"
183,"711
","Grand Cheval de Bois [fr]
",2838.0,424.0,"44°17′33″N 06°38′02″E﻿ / ﻿44.29250°N 6.63389°E﻿ / 44.29250; 6.63389﻿ (711. Grand Cheval de Bois (2838 m))
","Maritime Alps
","I/A-02.I-E
","A-d-H-Provence
","FR
","
"
184,"712
","Kärlskopf
",2836.0,631.0,"46°53′19″N 12°14′10″E﻿ / ﻿46.88861°N 12.23611°E﻿ / 46.88861; 12.23611﻿ (712. Kärlskopf (2836 m))
","Villgraten Mountains
","II/A-17.III-B
","E-Tyrol/S-Tyrol
","AT/IT
","
"
185,"713
","Tête du Clotonnet
",2835.0,335.0,"44°50′34″N 06°06′04″E﻿ / ﻿44.84278°N 6.10111°E﻿ / 44.84278; 6.10111﻿ (713. Tête du Clotonnet (2835 m))
","Massif des Écrins
","I/A-05.III-D
","Isère/H-Alpes
","FR
","
"
186,"714
","Gamskarlspitz
",2833.0,374.0,"47°02′13″N 13°09′45″E﻿ / ﻿47.03694°N 13.16250°E﻿ / 47.03694; 13.16250﻿ (714. Gamskarlspitz (2833 m))
","Ankogel Group
","II/A-17.II-F
","Carinth/Salzburg
","AT
","
"
187,"715
","Cheval Noir
",2832.0,507.0,"45°25′19″N 06°24′50″E﻿ / ﻿45.42194°N 6.41389°E﻿ / 45.42194; 6.41389﻿ (715. Cheval Noir (2832 m))
","Vanoise massif
","I/B-07.II-E
","Savoie
","FR
","
"
188,"716
","Rocca la Meja
",2831.0,437.0,"44°23′54″N 07°04′08″E﻿ / ﻿44.39833°N 7.06889°E﻿ / 44.39833; 7.06889﻿ (716. Rocca la Meja (2831 m))
","Southern Cottian Alps
","I/A-04.I-A
","Cuneo
","IT
","
"
189,"717
","Drei Türme / Drusentürme
",2830.0,628.0,"47°01′29″N 09°48′36″E﻿ / ﻿47.02472°N 9.81000°E﻿ / 47.02472; 9.81000﻿ (717. Drei Türme / Drusentürme (2830 m))
","Rätikon
","II/A-15.VIII-A
","Vorarlberg
","AT
","
"
190,"
","Aiguille de Venosc
",2830.0,299.0,"44°58′05″N 06°05′14″E﻿ / ﻿44.96806°N 6.08722°E﻿ / 44.96806; 6.08722﻿ (Aig. de Venosc (2830 m))
","Massif des Écrins
","I/A-05.III-E
","Isère
","FR
","
"
191,"718
","Grand Pic de la Lauzière
",2829.0,836.0,"45°27′33″N 06°22′00″E﻿ / ﻿45.45917°N 6.36667°E﻿ / 45.45917; 6.36667﻿ (718. Grand Pic de la Lauzière (2829 m))
","Vanoise massif
","I/B-07.II-F
","Savoie
","FR
","
"
192,"719
","Pirchkogel
",2828.0,300.0,"47°13′55″N 10°59′57″E﻿ / ﻿47.23194°N 10.99917°E﻿ / 47.23194; 10.99917﻿ (719. Pirchkogel (2828 m))
","Stubai Alps
","II/A-16.II-B
","North Tyrol
","AT
","
"
193,"720
","Große Schlenkerspitze
",2827.0,445.0,"47°14′56″N 10°36′55″E﻿ / ﻿47.24889°N 10.61528°E﻿ / 47.24889; 10.61528﻿ (720. Große Schlenkerspitze (2827 m))
","Lechtal Alps
","II/B-21.I-A
","North Tyrol
","AT
","1882
"
